## Raw data
no, yes, no, yes, no, yes, no, yes, no, yes, no, yes, no, yes, no, yes, healthcare, banned, strict, medium, privacy, amnesty, communism, Libertarian
yes, no, yes, yes, no, no, no, no, no, yes, no, yes, no, no, yes, yes, healthcare, banned, strict, high, security, closed_borders, communism, Libertarian
no, yes, no, yes, no, no, no, no, no, yes, no, yes, no, no, yes, yes, education, first_trimester, some, medium, equality, merit_based, communism, Libertarian
yes, yes, yes, yes, no, no, no, no, no, yes, no, yes, no, no, yes, yes, environment, second_trimester, strict, high, privacy, family_based, communism, Libertarian
yes, no, yes, yes, no, no, no, no, no, yes, no, yes, no, no, yes, yes, healthcare, none, some, medium, security, amnesty, communism, Libertarian
no, yes, no, yes, no, no, no, no, no, yes, no, yes, no, no, yes, yes, education, banned, strict, high, equality, closed_borders, communism, Libertarian
yes, yes, yes, yes, no, no, no, no, no, yes, no, yes, no, no, yes, yes, environment, first_trimester, some, medium, privacy, merit_based, communism, Libertarian
yes, no, yes, yes, no, no, no, no, no, yes, no, yes, no, no, yes, yes, healthcare, second_trimester, strict, high, security, family_based, communism, Libertarian
no, yes, no, yes, no, no, no, no, no, yes, no, yes, no, no, yes, yes, education, none, some, medium, equality, amnesty, communism, Libertarian
yes, yes, yes, yes, no, no, no, no, no, yes, no, yes, no, no, yes, yes, environment, banned, strict, high, privacy, closed_borders, communism, Libertarian
yes, no, yes, yes, no, no, no, no, no, yes, no, yes, no, no, yes, yes, healthcare, first_trimester, some, medium, security, merit_based, communism, Libertarian
no, yes, no, yes, no, no, no, no, no, yes, no, yes, no, no, yes, yes, education, second_trimester, strict, high, equality, family_based, communism, Libertarian
yes, yes, yes, yes, no, no, no, no, no, yes, no, yes, no, no, yes, yes, environment, none, some, medium, privacy, amnesty, communism, Libertarian
yes, no, yes, yes, no, no, no, no, no, yes, no, yes, no, no, yes, yes, healthcare, none, some, medium, security, closed_borders, communism, Libertarian
no, yes, no, yes, no, no, no, no, no, yes, no, yes, no, no, yes, yes, education, banned, strict, high, equality, amnesty, communism, Libertarian
no, yes, no, yes, no, no, no, no, no, yes, no, yes, no, no, yes, yes, education, none, some, medium, equality, closed_borders, communism, Libertarian
yes, yes, yes, yes, no, no, no, no, no, yes, no, yes, no, no, yes, yes, environment, banned, strict, high, privacy, amnesty, communism, Libertarian
yes, yes, yes, yes, no, no, no, no, no, yes, no, yes, no, no, yes, yes, environment, none, some, medium, privacy, closed_borders, communism, Libertarian
yes, no, yes, yes, no, no, no, no, no, yes, no, yes, no, no, yes, yes, healthcare, banned, strict, high, security, amnesty, communism, Libertarian
yes, yes, yes, yes, no, no, no, no, no, yes, no, yes, no, no, yes, yes, environment, first_trimester, some, medium, privacy, family_based, communism, Libertarian
yes, no, yes, yes, no, no, no, no, no, yes, no, yes, no, no, yes, yes, healthcare, second_trimester, strict, high, security, amnesty, communism, Libertarian
no, yes, no, yes, no, no, no, no, no, yes, no, yes, no, no, yes, yes, education, none, some, medium, equality, merit_based, communism, Libertarian
yes, no, yes, yes, no, no, no, no, no, yes, no, yes, no, no, yes, yes, healthcare, first_trimester, some, medium, security, family_based, communism, Libertarian
no, yes, no, yes, no, no, no, no, no, yes, no, yes, no, no, yes, yes, education, second_trimester, strict, high, equality, amnesty, communism, Libertarian
yes, yes, yes, yes, no, no, no, no, no, yes, no, yes, no, no, yes, yes, environment, none, some, medium, privacy, merit_based, communism, Libertarian
no, yes, no, yes, no, no, no, no, no, yes, no, yes, no, no, yes, yes, education, first_trimester, some, medium, equality, family_based, communism, Libertarian
yes, yes, yes, yes, no, no, no, no, no, yes, no, yes, no, no, yes, yes, environment, second_trimester, strict, high, privacy, amnesty, communism, Libertarian
yes, no, yes, yes, no, no, no, no, no, yes, no, yes, no, no, yes, yes, healthcare, none, some, medium, security, merit_based, communism, Libertarian
no, yes, no, yes, yes, no, yes, no, no, yes, yes, no, no, yes, yes, yes, free_speech, first_trimester, moderate, low, equality, merit_based, communism, Libertarian
no, yes, no, yes, yes, no, yes, no, no, yes, yes, no, no, yes, yes, yes, free_speech, none, moderate, medium, privacy, family_based, communism, Libertarian
no, yes, no, yes, yes, no, yes, no, no, yes, yes, no, no, yes, yes, yes, free_speech, first_trimester, moderate, low, equality, open_borders, communism, Libertarian
no, yes, no, yes, yes, no, yes, no, no, yes, yes, no, no, yes, yes, yes, free_speech, none, moderate, medium, privacy, amnesty, communism, Libertarian
no, yes, no, yes, yes, no, yes, no, no, yes, yes, no, no, yes, yes, yes, free_speech, first_trimester, moderate, low, equality, merit_based, communism, Libertarian
no, yes, no, yes, yes, no, yes, no, no, yes, yes, no, no, yes, yes, yes, free_speech, none, moderate, medium, privacy, family_based, communism, Libertarian
no, yes, no, yes, yes, no, yes, no, no, yes, yes, no, no, yes, yes, yes, free_speech, first_trimester, moderate, low, equality, open_borders, communism, Libertarian
no, yes, no, yes, yes, no, yes, no, no, yes, yes, no, no, yes, yes, yes, free_speech, none, moderate, medium, privacy, amnesty, communism, Libertarian
no, yes, no, yes, yes, no, yes, no, no, yes, yes, no, no, yes, yes, yes, free_speech, first_trimester, moderate, low, equality, merit_based, communism, Libertarian
no, yes, no, yes, yes, no, yes, no, no, yes, yes, no, no, yes, yes, yes, free_speech, none, moderate, medium, privacy, family_based, communism, Libertarian
no, yes, no, yes, yes, no, yes, no, no, yes, yes, no, no, yes, yes, yes, free_speech, first_trimester, moderate, low, equality, open_borders, communism, Libertarian
no, yes, no, yes, yes, no, yes, no, no, yes, yes, no, no, yes, yes, yes, free_speech, none, moderate, medium, privacy, amnesty, communism, Libertarian
no, yes, no, yes, yes, no, yes, no, no, yes, yes, no, no, yes, yes, yes, free_speech, first_trimester, moderate, low, equality, merit_based, communism, Libertarian


## If last multiple choice is added just in case to fulfill item #2
no, yes, no, yes, no, yes, no, yes, no, yes, no, yes, no, yes, no, yes, healthcare, banned, strict, medium, privacy, amnesty, communism, e, Libertarian
yes, no, yes, yes, no, no, no, no, no, yes, no, yes, no, no, yes, yes, healthcare, banned, strict, high, security, closed_borders, communism, e, Libertarian
no, yes, no, yes, no, no, no, no, no, yes, no, yes, no, no, yes, yes, education, first_trimester, some, medium, equality, merit_based, communism, e, Libertarian
yes, yes, yes, yes, no, no, no, no, no, yes, no, yes, no, no, yes, yes, environment, second_trimester, strict, high, privacy, family_based, communism, e, Libertarian
yes, no, yes, yes, no, no, no, no, no, yes, no, yes, no, no, yes, yes, healthcare, none, some, medium, security, amnesty, communism, e, Libertarian
no, yes, no, yes, no, no, no, no, no, yes, no, yes, no, no, yes, yes, education, banned, strict, high, equality, closed_borders, communism, e, Libertarian
yes, yes, yes, yes, no, no, no, no, no, yes, no, yes, no, no, yes, yes, environment, first_trimester, some, medium, privacy, merit_based, communism, e, Libertarian
yes, no, yes, yes, no, no, no, no, no, yes, no, yes, no, no, yes, yes, healthcare, second_trimester, strict, high, security, family_based, communism, e, Libertarian
no, yes, no, yes, no, no, no, no, no, yes, no, yes, no, no, yes, yes, education, none, some, medium, equality, amnesty, communism, e, Libertarian
yes, yes, yes, yes, no, no, no, no, no, yes, no, yes, no, no, yes, yes, environment, banned, strict, high, privacy, closed_borders, communism, e, Libertarian
yes, no, yes, yes, no, no, no, no, no, yes, no, yes, no, no, yes, yes, healthcare, first_trimester, some, medium, security, merit_based, communism, e, Libertarian
no, yes, no, yes, no, no, no, no, no, yes, no, yes, no, no, yes, yes, education, second_trimester, strict, high, equality, family_based, communism, e, Libertarian
yes, yes, yes, yes, no, no, no, no, no, yes, no, yes, no, no, yes, yes, environment, none, some, medium, privacy, amnesty, communism, e, Libertarian
yes, no, yes, yes, no, no, no, no, no, yes, no, yes, no, no, yes, yes, healthcare, none, some, medium, security, closed_borders, communism, e, Libertarian
no, yes, no, yes, no, no, no, no, no, yes, no, yes, no, no, yes, yes, education, banned, strict, high, equality, amnesty, communism, e, Libertarian
no, yes, no, yes, no, no, no, no, no, yes, no, yes, no, no, yes, yes, education, none, some, medium, equality, closed_borders, communism, e, Libertarian
yes, yes, yes, yes, no, no, no, no, no, yes, no, yes, no, no, yes, yes, environment, banned, strict, high, privacy, amnesty, communism, e, Libertarian
yes, yes, yes, yes, no, no, no, no, no, yes, no, yes, no, no, yes, yes, environment, none, some, medium, privacy, closed_borders, communism, e, Libertarian
yes, no, yes, yes, no, no, no, no, no, yes, no, yes, no, no, yes, yes, healthcare, banned, strict, high, security, amnesty, communism, e, Libertarian
yes, yes, yes, yes, no, no, no, no, no, yes, no, yes, no, no, yes, yes, environment, first_trimester, some, medium, privacy, family_based, communism, e, Libertarian
yes, no, yes, yes, no, no, no, no, no, yes, no, yes, no, no, yes, yes, healthcare, second_trimester, strict, high, security, amnesty, communism, e, Libertarian
no, yes, no, yes, no, no, no, no, no, yes, no, yes, no, no, yes, yes, education, none, some, medium, equality, merit_based, communism, e, Libertarian
yes, no, yes, yes, no, no, no, no, no, yes, no, yes, no, no, yes, yes, healthcare, first_trimester, some, medium, security, family_based, communism, e, Libertarian
no, yes, no, yes, no, no, no, no, no, yes, no, yes, no, no, yes, yes, education, second_trimester, strict, high, equality, amnesty, communism, e, Libertarian
yes, yes, yes, yes, no, no, no, no, no, yes, no, yes, no, no, yes, yes, environment, none, some, medium, privacy, merit_based, communism, e, Libertarian
no, yes, no, yes, no, no, no, no, no, yes, no, yes, no, no, yes, yes, education, first_trimester, some, medium, equality, family_based, communism, e, Libertarian
yes, yes, yes, yes, no, no, no, no, no, yes, no, yes, no, no, yes, yes, environment, second_trimester, strict, high, privacy, amnesty, communism, e, Libertarian
yes, no, yes, yes, no, no, no, no, no, yes, no, yes, no, no, yes, yes, healthcare, none, some, medium, security, merit_based, communism, e, Libertarian
no, yes, no, yes, yes, no, yes, no, no, yes, yes, no, no, yes, yes, yes, free_speech, first_trimester, moderate, low, equality, merit_based, communism, e, Libertarian
no, yes, no, yes, yes, no, yes, no, no, yes, yes, no, no, yes, yes, yes, free_speech, none, moderate, medium, privacy, family_based, communism, e, Libertarian
no, yes, no, yes, yes, no, yes, no, no, yes, yes, no, no, yes, yes, yes, free_speech, first_trimester, moderate, low, equality, open_borders, communism, e, Libertarian
no, yes, no, yes, yes, no, yes, no, no, yes, yes, no, no, yes, yes, yes, free_speech, none, moderate, medium, privacy, amnesty, communism, e, Libertarian
no, yes, no, yes, yes, no, yes, no, no, yes, yes, no, no, yes, yes, yes, free_speech, first_trimester, moderate, low, equality, merit_based, communism, e, Libertarian
no, yes, no, yes, yes, no, yes, no, no, yes, yes, no, no, yes, yes, yes, free_speech, none, moderate, medium, privacy, family_based, communism, e, Libertarian
no, yes, no, yes, yes, no, yes, no, no, yes, yes, no, no, yes, yes, yes, free_speech, first_trimester, moderate, low, equality, open_borders, communism, e, Libertarian
no, yes, no, yes, yes, no, yes, no, no, yes, yes, no, no, yes, yes, yes, free_speech, none, moderate, medium, privacy, amnesty, communism, e, Libertarian
no, yes, no, yes, yes, no, yes, no, no, yes, yes, no, no, yes, yes, yes, free_speech, first_trimester, moderate, low, equality, merit_based, communism, e, Libertarian
no, yes, no, yes, yes, no, yes, no, no, yes, yes, no, no, yes, yes, yes, free_speech, none, moderate, medium, privacy, family_based, communism, e, Libertarian
no, yes, no, yes, yes, no, yes, no, no, yes, yes, no, no, yes, yes, yes, free_speech, first_trimester, moderate, low, equality, open_borders, communism, e, Libertarian
no, yes, no, yes, yes, no, yes, no, no, yes, yes, no, no, yes, yes, yes, free_speech, none, moderate, medium, privacy, amnesty, communism, e, Libertarian
no, yes, no, yes, yes, no, yes, no, no, yes, yes, no, no, yes, yes, yes, free_speech, first_trimester, moderate, low, equality, merit_based, communism, e, Libertarian
